problem_id,type_group_id,type_bounds,n_testcases,is_duplicate,specification_no,extract_no,additional_notes,Subjective Score (1-10),Use?,type_group_id_int
p00562,group15_2,"Types: H: int, W: int, A: int, B: int, C: int, N: int, S: List[int], T: List[int]
Ranges: 1 ≤ H ≤ 500, 1 ≤ W ≤ 500, 0 ≤ A ≤ 1,000,000,000, 0 ≤ B ≤ 1,000,000,000, 0 ≤ C ≤ 1,000,000,000, 2 ≤ N ≤ 100,000, 0 ≤ S[i] ≤ H (1 ≤ i ≤ N), 0 ≤ T[i] ≤ W (1 ≤ i ≤ N)
Addtl Info: (S[0], T[0]) ≠ (S[N-1], T[N-1])",102,False,,,,,False,15.0
p02253,group16_2,"Types: \( n: \text{int}, s: \text{List[int]}, t: \text{List[int]} \)
Ranges: \( 1 \le n \le 10^5 \), \( 1 \le s_i < t_i \le 10^9 \) (\( 1 \le i \le n \))
Addtl Info: None",104,False,,,,,False,16.0
p03170,group17_2,"Types: N: int, K: int, a: List[int]
Ranges: 1 ≤ N ≤ 100, 1 ≤ K ≤ 10^5, 1 ≤ a_1 < a_2 < ... < a_N ≤ K
Addtl Info: None",107,False,,,,,False,17.0
p02137,group18_2,"Types: P: int
Ranges: 1 ≤ P ≤ 10^5
Addtl Info: None",104,False,,,,,False,18.0
p02556,group19_2,"Types: N: int, coordinates: List[Tuple[int, int]]
Ranges: 2 ≤ N ≤ 2 × 10^5, 1 ≤ x_i, y_i ≤ 10^9
Addtl Info: None",103,False,,,,,False,19.0
p02422,group20_2,"Types: str: str, q: int, command: List[Tuple[str, int, int, Optional[str]]]
Ranges: 1 ≤ len(str) ≤ 1000, 1 ≤ q ≤ 100, 0 ≤ a ≤ b < len(str)
Addtl Info: for replace command, b - a + 1 = len(p)",103,False,,,,,False,20.0
p00808,group21_2,"Types: T: int, Start_city: str, Departure_time: str, Arrival_city: str, Arrival_time: str, price: int  
Ranges: 1 ≤ T ≤ 2000, Start_city: str (1-16 alphabetical characters, first in upper case), Departure_time: str (HH:MM, 00:00 to 23:59), Arrival_city: str (1-16 alphabetical characters, first in upper case), Arrival_time: str (HH:MM, 00:00 to 23:59), 1 ≤ price ≤ 10000  
Addtl Info: Number of cities ≤ 100, Arrival time is strictly after departure time",102,False,,,,,False,21.0
p01453,group22_2,"Types: W: int, H: int, c: List[str]
Ranges: 3 ≤ W ≤ 500, 3 ≤ H ≤ 500, c[i] in {'.', '#', 's', 'g', '*'}
Addtl Info: None",105,False,,,,,False,22.0
p01103,group23_2,"Types: d: int, w: int, e: int
Ranges: 3 ≤ d ≤ 10, 3 ≤ w ≤ 10, 0 ≤ e ≤ 9
Addtl Info: At most 100 datasets, end of input indicated by a line containing two zeros separated by a space",102,False,,,,,False,23.0
p03037,group24_2,"Types: N: int, M: int, L: List[int], R: List[int]
Ranges: 1 ≤ N ≤ 10^5, 1 ≤ M ≤ 10^5, 1 ≤ L_i ≤ R_i ≤ N
Addtl Info: None",104,False,,,,,False,24.0
p02546,group25_2,"Types: S: str  
Ranges: 1 ≤ len(S) ≤ 1000  
Addtl Info: S contains only lowercase English letters",104,False,,,,,False,25.0
p00199,group26_2,"Types: n: int, m: int, a: List[str]
Ranges: 1 ≤ n ≤ 100, m ≤ n, a[i] in {'A', 'B', 'C', 'D'}
Addtl Info: None",102,False,,,,,False,26.0
p00167,group27_2,"Types: n: int, ai: int
Ranges: 1 ≤ n ≤ 100, 1 ≤ ai ≤ 1000000
Addtl Info: The number of datasets does not exceed 20. The end of the input is indicated by a single zero.",102,False,,,,,False,27.0
p01459,group28_2,"Types: N: int, M: int, A: int, grid: List[List[str]]

Ranges: 2 ≤ N, M ≤ 100, 0 ≤ A ≤ 10, grid[i][j] in {'#', '.', 'S', 'G'}

Addtl Info: None",105,False,,,,,False,28.0
p02752,group29_2,"Types: N: int, a: List[int], b: List[int]
Ranges: 3 ≤ N ≤ 2 × 10^5, 1 ≤ a_i, b_i ≤ N
Addtl Info: The given graph is a tree.",105,False,,,,,False,29.0
p00370,group30_2,"Types: x_s: int, y_s: int, x_g: int, y_g: int, N: int, coordinates: List[Tuple[int, int]]
Ranges: 0 ≤ x_s, y_s, x_g, y_g ≤ 10^4, 3 ≤ N ≤ 100, 0 ≤ coordinates[i][0], coordinates[i][1] ≤ 10^4
Addtl Info: Start and end points of the expedition are not within the area enclosed by the polygon nor on boundaries. Start and end points of the expedition are not identical. No duplicate coordinates are given. The area enclosed by the polygon has a positive value. Any three coordinates that define an area are not aligned on a line.",103,False,,,,,False,30.0
p04010,group31_0,"Types: N: int, M: int, a: List[int], b: List[int]
Ranges: 2 ≤ N ≤ 10^5, N-1 ≤ M ≤ N, 1 ≤ a_i, b_i ≤ N
Addtl Info: No self-loops or multiple edges, the graph is connected",105,False,,,,,False,31.0
p02201,group31_2,"Types: N: int, S: List[str]
Ranges: 1 ≤ N ≤ 1000, 1 ≤ (length of S_i) ≤ 100
Addtl Info: S_i consists of numbers and uppercase letters",102,False,,,,,False,31.0
p03111,group32_2,"Types: N: int, A: int, B: int, C: int, l: List[int]  
Ranges: 3 ≤ N ≤ 8, 1 ≤ C < B < A ≤ 1000, 1 ≤ l_i ≤ 1000  
Addtl Info: All values in input are integers.",104,False,,,,,False,32.0
p02113,group33_2,"Types: N: int, L: int, s: List[str]
Ranges: 1 ≤ N ≤ 1000, 1 ≤ L ≤ 30, si consists of lowercase English letters
Addtl Info: None",104,False,,,,,False,33.0
p01726,group34_2,"Types: S: str, T_prime: str
Ranges: 1 ≤ |S| ≤ 300,000, 1 ≤ |T_prime| ≤ |S|
Addtl Info: S and T_prime consist only of upper- and lowercase letters.",104,False,,,,,False,34.0
p03748,group35_2,"Types: N: int, M: int

Ranges: 1 ≤ N ≤ 3000, 1 ≤ M ≤ 3000

Addtl Info: None",104,False,,,,,False,35.0
p00324,group35_0,"Types: N: int, d: List[int]
Ranges: 1 ≤ N ≤ 200000, -10^9 ≤ d[i] ≤ 10^9
Addtl Info: None",103,False,,,,,False,35.0
p03942,group36_2,"Types: N: int, S_0: str, T: str
Ranges: 1 ≤ N ≤ 1,000,000
Addtl Info: S_0 and T consist of lowercase English letters",105,False,,,,,False,36.0
p02796,group36_0,"Types: N: int, X: List[int], L: List[int]
Ranges: 1 ≤ N ≤ 100,000, 0 ≤ X[i] ≤ 10^9 (1 ≤ i ≤ N), 1 ≤ L[i] ≤ 10^9 (1 ≤ i ≤ N)
Addtl Info: If i ≠ j, X[i] ≠ X[j]",104,False,,,,,False,36.0
p03406,group37_2,"Types: N: int, M: int, A: List[int]
Ranges: 1 ≤ N ≤ 16, 0 ≤ M ≤ 16, 2 ≤ A[i] ≤ 2^N (1 ≤ i ≤ M), A[i] < A[i + 1] (1 ≤ i < M)
Addtl Info: None",106,False,,,,,False,37.0
p03738,group37_0,"Types: A: str, B: str
Ranges: 1 ≤ len(A) ≤ 100, 1 ≤ len(B) ≤ 100
Addtl Info: A and B only contain digits and do not begin with 0",105,False,,,,,False,37.0
p02457,group38_2,"Types: q: int, query_i: Union[Tuple[int, int], Tuple[int, int, int]]
Ranges: 1 ≤ q ≤ 200,000, 0 ≤ x ≤ 1,000,000,000
Addtl Info: The total number of elements printed by dump operations does not exceed 1,000,000",102,False,,,,,False,38.0
p01173,group38_0,"Types: n: int, vw: int, vc: int, coordinates: List[Tuple[int, int]]
Ranges: 1 ≤ n ≤ 1,000, 1 ≤ vw, vc ≤ 10, -10,000 ≤ xi, yi ≤ 10,000
Addtl Info: xi < xj for all i < j, input terminated by n = 0",102,False,,,,,False,38.0
p03099,group39_0,"Types: 
- N: int 
- M: int
- coordinates_and_values: List[Tuple[int, int, int]]
- conditions: List[Tuple[str, int, int]]

Ranges: 
- 1 ≤ N ≤ 80
- 1 ≤ x_i, y_i ≤ 100
- 1 ≤ v_i ≤ 10^15
- 1 ≤ M ≤ 320
- t_i in {'L', 'R', 'U', 'D'}
- 1 ≤ a_i ≤ 100
- 0 ≤ b_i ≤ N - 1

Addtl Info: 
- (x_i, y_i) are pairwise distinct.
- (t_i, a_i) are pairwise distinct.
- (t_i, b_i) are pairwise distinct.",105,False,,,,,False,39.0
p03703,group39_2,"Types: N: int, K: int, a: List[int]
Ranges: 1 ≤ N ≤ 2 × 10^5, 1 ≤ K ≤ 10^9, 1 ≤ a[i] ≤ 10^9
Addtl Info: None",104,False,,,,,False,39.0
p03078,group40_2,"Types: X: int, Y: int, Z: int, K: int, A: List[int], B: List[int], C: List[int]
Ranges: 1 ≤ X ≤ 1000, 1 ≤ Y ≤ 1000, 1 ≤ Z ≤ 1000, 1 ≤ K ≤ min(3000, X * Y * Z), 1 ≤ A_i ≤ 10^10, 1 ≤ B_i ≤ 10^10, 1 ≤ C_i ≤ 10^10
Addtl Info: None",104,False,,,,,False,40.0
p01699,group40_0,"Types: N: int, low: List[int], high: List[int]
Ranges: 2 ≤ N ≤ 6, 1 ≤ low[i] ≤ high[i] ≤ 99
Addtl Info: Input ends with a single zero on a separate line",102,False,,,,,False,40.0
p03066,group41_2,"Types: N: int, X: int
Ranges: 1 ≤ N ≤ 3000, 1 ≤ X ≤ 2N
Addtl Info: None",106,False,,,,,False,41.0
p02733,group41_0,"Types: H: int, W: int, K: int, S: List[List[int]]
Ranges: 1 ≤ H ≤ 10, 1 ≤ W ≤ 1000, 1 ≤ K ≤ H * W, S_{i,j} is 0 or 1
Addtl Info: None",104,False,,,,,False,41.0
p03386,group42_2,"Types: A: int, B: int, K: int
Ranges: 1 ≤ A ≤ B ≤ 10^9, 1 ≤ K ≤ 100
Addtl Info: None",104,False,,,,,False,42.0
p01957,group42_0,"Types: S: str, a_i: str, v_i: int  
Ranges: 2 ≤ N ≤ 26, v_i ≤ 26  
Addtl Info: Each a_i is distinct and appears exactly once in S. S satisfies the BNF: `<winner> ::= <person> | ""["" <winner> ""-"" <winner> ""]""`, `<person> ::= ""a"" | ""b"" | ""c"" | ... | ""z""`.",103,False,,,,,False,42.0
p03272,group43_2,"Types: N: int, i: int
Ranges: 1 ≤ N ≤ 100, 1 ≤ i ≤ N
Addtl Info: None",104,False,,,,,False,43.0
p00077,group43_0,"Types: S: List[str]
Ranges: 1 ≤ len(S) ≤ 50, 1 ≤ len(S[i]) ≤ 100, S[i] consists of uppercase and lowercase letters, digits, symbols, and '@'.
Addtl Info: Consecutive characters encoded with '@' are up to 9 characters.",102,False,,,,,False,43.0
p02677,group44_2,"Types: A: int, B: int, H: int, M: int
Ranges: 1 ≤ A, B ≤ 1000, 0 ≤ H ≤ 11, 0 ≤ M ≤ 59
Addtl Info: None",103,False,,,,,False,44.0
p00193,group44_0,"Types: m: int, n: int, existing_stores: List[Tuple[int, int]], candidate_locations: List[Tuple[int, int]]
Ranges: 1 ≤ m, n ≤ 100, (1 ≤ x, y ≤ m, n) for coordinates in existing_stores and candidate_locations
Addtl Info: End of input is indicated by a line containing a single zero.",102,False,,,,,False,44.0
p02763,group45_2,"Types: N: int, S: str, Q: int, Query: List[Tuple[int, Union[Tuple[int, str], Tuple[int, int]]]]
Ranges: 1 ≤ N ≤ 500000, 1 ≤ Q ≤ 20000, 1 ≤ i_q ≤ N, 1 ≤ l_q ≤ r_q ≤ N
Addtl Info: c_q is a lowercase English letter, S is a string consisting of lowercase English letters, |S| = N, There is at least one query of type 2 in each testcase.",102,False,,,,,False,45.0
p02436,group45_0,"Types: n: int, q: int, query_i: Tuple[int, int, Optional[int]]
Ranges: 1 ≤ n ≤ 1,000; 1 ≤ q ≤ 200,000; -1,000,000,000 ≤ x ≤ 1,000,000,000
Addtl Info: query_i[0] in {0, 1, 2}; query_i[0] == 0 implies query_i[2] is present and is an integer",102,False,,,,,False,45.0
p02110,group46_0,"Types: N: int, K: int, x: List[int], y: List[int]
Ranges: 2 ≤ K ≤ N ≤ 6,000, 1 ≤ xi, yi ≤ 1,000,000, xi mod 2 = floor(yi ÷ 2) mod 2
Addtl Info: Coordinates (xi, yi) are unique",104,False,,,,,False,46.0
p02149,group46_2,"Types: a: int, b: int, c: int
Ranges: 1 ≤ a, b, c ≤ 5000
Addtl Info: a ≠ b, b ≠ c, c ≠ a",103,False,,,,,False,46.0
p02783,group47_2,"Types: H: int, A: int  
Ranges: 1 ≤ H ≤ 10^4, 1 ≤ A ≤ 10^4  
Addtl Info: None",104,False,,,,,False,47.0
p00729,group48_2,"Types: N: int, M: int, r: int, q: int, records: List[Tuple[int, int, int, int]], queries: List[Tuple[int, int, int]]
Ranges: 1 ≤ N ≤ 1000, 1 ≤ M ≤ 10000, 2 ≤ r ≤ 1000, 1 ≤ q ≤ 50, 540 ≤ t ≤ 1260, 1 ≤ n ≤ N, 1 ≤ m ≤ M, 540 ≤ ts < te ≤ 1260
Addtl Info: records are tuples (t, n, m, s) where s is 0 or 1; queries are tuples (ts, te, m)",102,False,,,,,False,48.0
p02177,group48_0,"Types: N: int, M: int, a: List[int], b: List[int]
Ranges: 2 ≤ N ≤ 300, 1 ≤ M ≤ N(N-1), 1 ≤ a[i], b[i] ≤ N
Addtl Info: a_i ≠ b_i",102,False,,,,,False,48.0
p02937,group49_2,"Types: s: str, t: str
Ranges: 1 ≤ |s| ≤ 10^5, 1 ≤ |t| ≤ 10^5
Addtl Info: s and t consist of lowercase English letters.",104,False,,,,,False,49.0
p03824,group49_0,"Types: N: int, a: List[int], b: List[int]
Ranges: 2 ≤ N ≤ 10^5, 1 ≤ a_i, b_i ≤ N (1 ≤ i ≤ N-1)
Addtl Info: The given graph is a tree.",103,False,,,,,False,49.0
p03020,group50_0,"Types: N: int, RX: List[int], RY: List[int], RC: List[int], BX: List[int], BY: List[int], BC: List[int]
Ranges: 1 ≤ N ≤ 1000, 0 ≤ RX[i], RY[i], BX[i], BY[i] ≤ 10^9, 1 ≤ RC[i], BC[i] ≤ 10, ∑_{i=1}^{N} RC[i] = ∑_{i=1}^{N} BC[i]
Addtl Info: All values in input are integers.",104,False,,,,,False,50.0
p00844,group50_2,"Types: 
- L: float
- Polygon: Tuple[int, List[Tuple[int, int]]]

Ranges: 
- 0.1 < L < 50.0
- 2 < n < 15
- 0 ≤ xi, yi < 500

Addtl Info: 
- Vertices are given in counterclockwise order
- Polygons are simple and do not self-intersect
- |w(L ± 10^-7) - w(L)| < 10^-4",102,False,,,,,False,50.0
p02277,group51_2,"Types: n: int, A: List[Tuple[str, int]]
Ranges: 1 ≤ n ≤ 100,000, 1 ≤ A[i][1] ≤ 10^9, A[i][0] in {'S', 'H', 'C', 'D'}
Addtl Info: None",103,False,,,,,False,51.0
p02621,group51_0,"Types: a: int
Ranges: 1 ≤ a ≤ 10
Addtl Info: None",103,False,,,,,False,51.0
p03616,group52_2,"Types: X: int, K: int, r: List[int], Q: int, t: List[int], a: List[int]

Ranges: 1 ≤ X ≤ 10^9, 1 ≤ K ≤ 10^5, 1 ≤ r_i ≤ 10^9, 1 ≤ Q ≤ 10^5, 0 ≤ t_i ≤ 10^9, 0 ≤ a_i ≤ X

Addtl Info: All input values are integers.",104,False,,,,,False,52.0
p03254,group53_2,"Types: N: int, x: int, a: List[int]
Ranges: 2 ≤ N ≤ 100, 1 ≤ x ≤ 10^9, 1 ≤ a[i] ≤ 10^9
Addtl Info: None",105,False,,,,,False,53.0
p03008,group53_0,"Types: N: int, g_A: int, s_A: int, b_A: int, g_B: int, s_B: int, b_B: int
Ranges: 1 ≤ N ≤ 5000, 1 ≤ g_A ≤ 5000, 1 ≤ s_A ≤ 5000, 1 ≤ b_A ≤ 5000, 1 ≤ g_B ≤ 5000, 1 ≤ s_B ≤ 5000, 1 ≤ b_B ≤ 5000
Addtl Info: None",102,False,,,,,False,53.0
p00390,group54_0,"Types: N: int, a: List[int], w: List[int]
Ranges: 3 ≤ N ≤ 10, a[i] ∈ {0, 1}, 1 ≤ w[i] ≤ 1000
Addtl Info: None",103,False,,,,,False,54.0
p01891,group54_2,"Types: N: int, M: int, A: int, B: int, D: List[int]
Ranges: 1 ≤ N ≤ 1000, 0 ≤ M ≤ N, 1 ≤ A ≤ B ≤ 1000, 1 ≤ D[i] ≤ 1000
Addtl Info: None",102,False,,,,,False,54.0
p00593,group55_0,"Types: N: int
Ranges: 0 < N < 10
Addtl Info: Input ends with a line containing a single zero",102,False,,,,,False,55.0
p01975,group55_2,"Types: N: int, a: List[int], b: List[int]
Ranges: 1 ≤ N ≤ 10^5, 1 ≤ a[i], b[i] ≤ N, a[i] ≠ a[j] for all i ≠ j
Addtl Info: All input is integers",14,False,,,,,False,55.0
p02646,group56_0,"Types: A: int, V: int, B: int, W: int, T: int  
Ranges: -10^9 ≤ A, B ≤ 10^9, 1 ≤ V, W ≤ 10^9, 1 ≤ T ≤ 10^9  
Addtl Info: A ≠ B",104,False,,,,,False,56.0
p03840,group56_2,"Types: a_I: int, a_O: int, a_T: int, a_J: int, a_L: int, a_S: int, a_Z: int
Ranges: 0 ≤ a_I, a_O, a_T, a_J, a_L, a_S, a_Z ≤ 10^9
Addtl Info: a_I + a_O + a_T + a_J + a_L + a_S + a_Z ≥ 1",103,False,,,,,False,56.0
p01602,group57_2,"Types: n: int, p: List[Tuple[str, int]]
Ranges: 1 ≤ n ≤ 1,000, 1 ≤ x_i ≤ 10^6, p_i in {'(', ')'}
Addtl Info: None",104,False,,,,,False,57.0
p03136,group58_2,"Types: N: int, L: List[int]
Ranges: 3 ≤ N ≤ 10, 1 ≤ L[i] ≤ 100
Addtl Info: None",104,False,,,,,False,58.0
p02461,group58_0,"Types: q: int, query: List[Union[Tuple[int, str, int], Tuple[int, str], Tuple[int, str], Tuple[int, str, str]]]
Ranges: 1 ≤ q ≤ 200,000, 1 ≤ x ≤ 1,000,000,000, 1 ≤ length of key ≤ 20, key consists of lower-case letters, L ≤ R in lexicographic order
Addtl Info: The total number of elements printed by dump operations does not exceed 1,000,000",102,False,,,,,False,58.0
p01472,group59_2,"Types: N: int, F: int, X: List[List[int]]
Ranges: 1 ≤ N ≤ 8, -10^5 ≤ F ≤ 10^5, -10^5 ≤ X[i][j] ≤ 10^5
Addtl Info: None",104,False,,,,,False,59.0
p01655,group59_0,"Types: l: int, d: int, str_1: str, str_2: str, str_3: str
Ranges: 1 ≤ l ≤ 100,000, 0 ≤ d ≤ 5,000
Addtl Info: Strings consist of only lower and upper case alphabets. Input ends with a line containing two zeros, which should not be processed.",102,False,,,,,False,59.0
p03600,group60_2,"Types: N: int, A: List[List[int]]

Ranges: 1 ≤ N ≤ 300, 1 ≤ A[i][j] ≤ 10^9 (if i ≠ j), A[i][i] = 0

Addtl Info: A is symmetric, i.e., A[i][j] = A[j][i]",105,False,,,,,False,60.0
p01682,group60_0,"Types: expr: str, number: int
Ranges: number between 0 and 1,000,000,000 inclusive
Addtl Info: The maximum number of datasets is 100; the total size of the input file does not exceed 2,000,000 bytes",102,False,,,,,False,60.0
p00812,group61_2,"Types: List[List[str]]
Ranges: Each expression is a string of at most 80 characters.
Addtl Info: Input ends with a line solely containing a period ('.'). Each block of expressions ends with a line containing a period ('.'). The first expression in each block is the correct answer. Each expression contains only lowercase letters, digits, '+', '-', '^', '(', ')', and spaces.",102,False,,,,,False,61.0
p00150,group61_0,"Types: n: int
Ranges: 5 ≤ n ≤ 10000
Addtl Info: Input ends with a line containing a zero",102,False,,,,,False,61.0
p03197,group62_2,"Types: N: int, a: List[int]
Ranges: 1 ≤ N ≤ 10^5, 1 ≤ a_i ≤ 10^9
Addtl Info: None",103,False,,,,,False,62.0
p00118,group62_0,"Types: H: int, W: int, orchard: List[str]
Ranges: 0 ≤ H ≤ 50, 0 ≤ W ≤ 50, orchard[i]: str of length W
Addtl Info: orchard[i][j] in {' ', '@', '#', '*'}",103,False,,,,,False,62.0
p01882,group63_2,"Types: N: int, s_i: str, a_i: int, M: int, t_j: str, b_j: int  
Ranges: 1 ≤ N ≤ 50,000, 1 ≤ |s_i| ≤ 20, 0 ≤ a_i ≤ 10^5, 1 ≤ M ≤ 20,000, 1 ≤ |t_j| ≤ 20, 0 ≤ b_j ≤ 10^5  
Addtl Info: Each character of \(s_i\) and \(t_j\) is an English letter and they are case-sensitive. No two members have the same name at the same time, but a member who has left may rejoin.",102,False,,,,,False,63.0
p00190,group63_0,"Types: datasets: List[List[int]]
Ranges: 0 ≤ pi ≤ 11, no more than 100 datasets
Addtl Info: Each dataset follows the puzzle shape: [p1, [p2, p3, p4], [p5, p6, p7, p8, p9], [p10, p11, p12], p13]",102,False,,,,,False,63.0
p00054,group64_2,"Types: a: int, b: int, n: int
Ranges: 1 ≤ a ≤ 1000, 1 ≤ b ≤ 10000, 1 ≤ n ≤ 100
Addtl Info: No more than 100 datasets",102,False,,,,,False,64.0
p00225,group64_0,"Types: n: int, wordi: str
Ranges: 2 ≤ n ≤ 10000, 1 ≤ len(wordi) ≤ 32
Addtl Info: <= 50 datasets",102,False,,,,,False,64.0
p03479,group65_2,"Types: X: int, Y: int  
Ranges: 1 ≤ X ≤ Y ≤ 10^18  
Addtl Info: None",104,False,,,,,False,65.0
p00974,group65_0,"Types: n: int, a: List[int]

Ranges: 1 ≤ n ≤ 100,000, 1 ≤ a[i] ≤ 100,000

Addtl Info: None",102,False,,,,,False,65.0
p01559,group66_2,"Types: N: int, M: int, obstacles: List[Tuple[int, int]]
Ranges: 2 ≤ N ≤ 10^6, 0 ≤ M ≤ 50, 1 ≤ Xi, Yi ≤ N
Addtl Info: i ≠ j implies (Xi, Yi) ≠ (Xj, Yj), (Xi, Yi) ≠ (1, 1), (Xi, Yi) ≠ (N, N)",106,False,,,,,False,66.0
p01541,group66_0,"Types: n: int, Si: List[int]
Ranges: 1 ≤ n ≤ 10^3, 1 ≤ Si[i] ≤ 10^4
Addtl Info: None",105,False,,,,,False,66.0
