problem_id,type_group_id,type_bounds,Len,type_bounds_score,n_testcases,specification_no,extract_no,Use?,Assignee,additional_notes,Subjective Score (1-10),type_group_id_int,,
p01252,p01252_4,"Types: N: int, x11: int, y11: int, x12: int, y12: int, x21: int, y21: int, x22: int, y22: int, ..., xN1: int, yN1: int, xN2: int, yN2: int, Ax: int, Ay: int, Bx: int, By: int
Ranges: 0 < N ≤ 30, -10000 ≤ xi1, yi1, xi2, yi2, Ax, Ay, Bx, By ≤ 10000
Addtl Info: Input ends with a single line containing a zero. No buildings touch or overlap other buildings.",354,7,102,NA,NA,FALSE,Alex,This one was a bit tricky to articulate,,1252,,
p02461,p02461_4,"Types: q: int, query: List[Union[Tuple[int, str, int], Tuple[int, str], Tuple[int, str], Tuple[int, str, str]]]
Ranges: 1 ≤ q ≤ 200,000, 1 ≤ x ≤ 1,000,000,000, 1 ≤ length of key ≤ 20, key consists of lower-case letters, L ≤ R in lexicographic order
Addtl Info: The total number of elements printed by dump operations does not exceed 1,000,000",342,7,102,NA,NA,FALSE,Botong,The extracted prompt is too abstract and incorrect.,,2461,,
p00195,p00195_4,"Types: s1A: int, s2A: int, s1B: int, s2B: int, s1C: int, s2C: int, s1D: int, s2D: int, s1E: int, s2E: int  
Ranges: 1 ≤ s1A, s2A, s1B, s2B, s1C, s2C, s1D, s2D, s1E, s2E ≤ 10000  
Addtl Info: The number of datasets is no more than 100. Each dataset ends with ""0 0"". Ensure there are no stores that sell the same number of items for the day.",339,7,102,NA,NA,FALSE,Botong,extract_arguments is incompatible.,,195,,
p01354,p01354_4,"Types: m: int, n: int, probabilities: List[List[float]]
Ranges: 1 ≤ m, n ≤ 16, 0.000 ≤ probabilities[i][j] ≤ 1.000
Addtl Info: Probabilities are given up to three decimal places, output error should be within 10^-9 of the true value.",233,7,102,1,1,TRUE,Botong,,,1354,,
p02108,p02108_4,"Types: n: int, m: int, c: List[int], a: List[int], b: List[int]
Ranges: 1 ≤ n ≤ 10^5, 0 ≤ m ≤ min(n×(n−1),10^5), 0 ≤ c[i] ≤ 1000, 0 ≤ a[i], b[i] ≤ n − 1
Addtl Info: No self-loops or multiple edges",196,7,104,1,1,TRUE,Botong,,,2108,,
p01676,p01676_4,"Types: N: int, M: int, s: List[int], t: List[int]
Ranges: 1 ≤ N ≤ 500, 0 ≤ M ≤ 3,000, 1 ≤ s_i, t_i ≤ N
Addtl Info: s_i ≠ t_i, {s_i, t_i} are unique pairs, graph is strongly connected",182,7,102,NA,NA,FALSE,Botong,extract_arguments returns a list of test cases; f() only takes one dataset. Not compatible.,,1676,,
p01212,p01212_4,"Types: W: int, H: int, grid: List[List[str]]  
Ranges: 3 ≤ W, H ≤ 30, grid contains {'@', '<', 'a'-'z', 'A'-'Z', '#', '.'}  
Addtl Info: grid is W × H in size, surrounded by '#', exactly one '@' and one '<', up to 8 distinct uppercase and lowercase labels",255,7,103,NA,NA,FALSE,Botong,original desc and extracted specification are not complete.,,1212,,
p00616,p00616_4,"Types: n: int, h: int, ci: str, ai: int, bi: int

Ranges: 1 ≤ n ≤ 500, 0 ≤ h ≤ 200, ci in {""xy"", ""xz"", ""yz""}, 1 ≤ ai, bi ≤ n

Addtl Info: Input terminates with n = 0 and h = 0",175,7,102,1,1,TRUE,Botong,,,616,,
p01704,p01704_4,"Types: N: int, pw: int, vw: List[int], pf: List[int], vf: List[int], th: List[int]
Ranges: 1 ≤ N ≤ 10^5, 1 ≤ pw ≤ 100, -100 ≤ vw[i] ≤ 100, 1 ≤ pf[i] ≤ 100, 1 ≤ vf[i] ≤ 100, -100 ≤ th[i] ≤ 100
Addtl Info: None",208,6,102,1,1,TRUE,Botong,,,1704,,
p00190,p00190_4,"Types: datasets: List[List[int]]
Ranges: 0 ≤ pi ≤ 11, no more than 100 datasets
Addtl Info: Each dataset follows the puzzle shape: [p1, [p2, p3, p4], [p5, p6, p7, p8, p9], [p10, p11, p12], p13]",193,6,102,NA,NA,FALSE,Botong,extract_arguments has wrong tuple length.,,190,,
p00732,p00732_4,"Types: L: float, R: float, N: int, Xi: int, Yi: int  
Ranges: 1.0 ≤ L ≤ 500.0, 1.0 ≤ R ≤ 10.0, 3 ≤ N ≤ 100, -1000 ≤ Xi ≤ 1000, -1000 ≤ Yi ≤ 1000  
Addtl Info: Number of datasets ≤ 100",183,6,102,1,1,TRUE,Botong,,,732,,
p01292,p01292_4,"Types: Time: int, R: int, L: int, Mary: List[Tuple[int, int, int]], M: int, George: List[Tuple[int, int, int]], N: int, Blocks: List[Tuple[int, int, int, int]]
Ranges: 
- 0 ≤ Time ≤ 100
- 0 < R < 30000
- 2 ≤ L ≤ 20
- Mary[i][0], Mary[i][1]: -10000 ≤ MaryXi, MaryYi ≤ 10000
- Mary[i][2]: 0 ≤ MaryTi ≤ Time
- 2 ≤ M ≤ 20
- George[j][0], George[j][1]: -10000 ≤ GeorgeXj, GeorgeYj ≤ 10000
- George[j][2]: 0 ≤ GeorgeTj ≤ Time
- 0 ≤ N ≤ 20
- Blocks[k][0], Blocks[k][1], Blocks[k][2], Blocks[k][3]: -10000 ≤ BlockSXk, BlockSYk, BlockTXk, BlockTYk ≤ 10000
Addtl Info: Coordinates are integers; time constraints ensure MaryTi < MaryTi+1 and GeorgeTj < GeorgeTj+1; no obstacles touch or cross each other.",693,6,102,NA,NA,FALSE,Botong,f() signature is incorrect.,,1292,,
p00268,p00268_4,"Types: C: int, W: int, x: List[int], y: List[int], s: List[int], t: List[int]
Ranges: 3 ≤ C ≤ 100, 3 ≤ W ≤ 300, -1000 ≤ xi ≤ 1000, -1000 ≤ yi ≤ 1000, 1 ≤ si ≤ C, 1 ≤ ti ≤ C
Addtl Info: No two pillars occupy the same position. No two different walls overlap or cross at a location other than a pillar. A single pillar supports two or more walls. The length of the wall is greater than zero. The pillar is only located at the ends of the wall. The wall separates different rooms or rooms and the outside. Any two different pillars can be reached by following the walls. The number of datasets does not exceed 50.",610,5,102,3,3,TRUE,Botong,,,268,,
p01626,p01626_4,"Types: N: int, M: int, B: List[List[Tuple[int, int]]], L: Tuple[Tuple[int, int], Tuple[int, int]], P: Tuple[int, int]  
Ranges: 1 ≤ N ≤ 10^3, 1 ≤ M ≤ 10^3, 1 ≤ len(B[i]) ≤ 10^3, -10^9 ≤ B[i][j][0], B[i][j][1] ≤ 10^9, -10^9 ≤ L[0][0], L[0][1], L[1][0], L[1][1] ≤ 10^9, -10^9 ≤ P[0], P[1] ≤ 10^9  
Addtl Info: B is a list of size N, each element is a list of tuples (x, y) representing the vertices of a polygon. L is a tuple of two tuples, each representing a point (x, y) on the dividing line. P is a tuple (x, y) representing the position of the hero.",552,5,102,NA,NA,FALSE,Botong,original desc is incomplete.,,1626,,
p00370,p00370_4,"Types: x_s: int, y_s: int, x_g: int, y_g: int, N: int, coordinates: List[Tuple[int, int]]
Ranges: 0 ≤ x_s, y_s, x_g, y_g ≤ 10^4, 3 ≤ N ≤ 100, 0 ≤ coordinates[i][0], coordinates[i][1] ≤ 10^4
Addtl Info: Start and end points of the expedition are not within the area enclosed by the polygon nor on boundaries. Start and end points of the expedition are not identical. No duplicate coordinates are given. The area enclosed by the polygon has a positive value. Any three coordinates that define an area are not aligned on a line.",525,5,103,1,1,TRUE,Botong,,,370,,
p00690,p00690_4,"Types: ns: int, nl: int, si: List[Tuple[int, int]], di: List[int]
Ranges: 1 ≤ ns ≤ 10, 1 ≤ nl ≤ 20, 1 ≤ si ≤ ns, 1 ≤ di ≤ 100
Addtl Info: The input terminates with two zeros (0 0). There is at most one direct route between any pair of stations. Each station has at most four direct routes leaving from it.",305,5,103,2,2,TRUE,Alex,,,690,,
p01130,p01130_4,"Types: n: int, m: int, s: int, g1: int, g2: int, b1: int, b2: int, c: int
Ranges: 3 ≤ n ≤ 100, 2 ≤ m ≤ 1000, 1 ≤ s ≤ n, 1 ≤ g1 ≤ n, 1 ≤ g2 ≤ n, 1 ≤ b1 ≤ n, 1 ≤ b2 ≤ n, 1 ≤ c ≤ 1000
Addtl Info: s, g1, and g2 are distinct, b1 and b2 are distinct, the input ends with a line containing ""0 0 0 0 0""",294,5,102,3,3,TRUE,Alex,,,1130,,
p00729,p00729_4,"Types: N: int, M: int, r: int, q: int, records: List[Tuple[int, int, int, int]], queries: List[Tuple[int, int, int]]
Ranges: 1 ≤ N ≤ 1000, 1 ≤ M ≤ 10000, 2 ≤ r ≤ 1000, 1 ≤ q ≤ 50, 540 ≤ t ≤ 1260, 1 ≤ n ≤ N, 1 ≤ m ≤ M, 540 ≤ ts < te ≤ 1260
Addtl Info: records are tuples (t, n, m, s) where s is 0 or 1; queries are tuples (ts, te, m)",332,5,102,1,1,TRUE,Alex,,,729,,
p01302,p01302_4,"Types: n: int, vx: int, vy: int, x: List[int], y: List[int]
Ranges: 3 ≤ n ≤ 100, -10000 ≤ vx, vy ≤ 10000, 0 ≤ xi, yi ≤ 10000, vx^2 + vy^2 > 0
Addtl Info: The input is terminated by a line with a zero. This should not be processed. The polygon is always simple, given in counterclockwise order.",293,5,102,1,1,TRUE,Alex,,,1302,,
p00626,p00626_4,"Types: H: int, W: int, chocolate_bar: List[List[int]]

Ranges: 1 ≤ H ≤ 12, 1 ≤ W ≤ 12, chocolate_bar[i][j] in {0, 1}

Addtl Info: The number of blocks with heart marks ('1's) is six or less. The end of the input is indicated by a dataset where H = W = 0. Do not output anything for this case.",292,5,102,3,3,TRUE,Alex,,,626,,
p01649,p01649_4,"Types: 
- n: int
- w: int
- h: int
- r: int
- v_x: int
- v_y: int
- x_i: int
- y_i: int

Ranges:
- 2 ≤ n ≤ 11
- 4 ≤ w, h ≤ 1000
- 1 ≤ r ≤ 100
- -10,000 ≤ v_x, v_y ≤ 10,000 and (v_x, v_y) ≠ (0, 0)
- r < x_i < w - r
- r < y_i < h - r

Addtl Info:
- The number of datasets is less than 100.",287,5,102,1,1,TRUE,Botong,,,1649,,
p01897,p01897_4,"Types: N: int, M: int, a: List[int], b: List[int]  
Ranges: 3 ≤ N ≤ 500, max(3, N−1) ≤ M ≤ 30000, 1 ≤ a_i, b_i ≤ N  
Addtl Info: The graph is connected when ignoring the direction of edges. \(a_i \neq b_i\) for all \(i\). \(\{a_i, b_i\} \neq \{a_j, b_j\}\) for all \(i \neq j\).",278,5,102,1,1,TRUE,Botong,,,1897,,
p01210,p01210_4,"Types: NA: int, deckA: List[str], NB: int, deckB: List[str]
Ranges: 1 ≤ NA, NB ≤ 10, 1 ≤ len(deckA[i]), len(deckB[i]) ≤ 2
Addtl Info: deckA and deckB contain unique cards from the set {'S', 'H', 'D', 'C'} x {'A', 'K', 'Q', 'J', 'X', '2', '3', '4', '5', '6', '7', '8', '9'}",272,5,102,NA,NA,FALSE,Botong,The orignal desc is too complicated.,,1210,,
p03020,p03020_4,"Types: N: int, RX: List[int], RY: List[int], RC: List[int], BX: List[int], BY: List[int], BC: List[int]
Ranges: 1 ≤ N ≤ 1000, 0 ≤ RX[i], RY[i], BX[i], BY[i] ≤ 10^9, 1 ≤ RC[i], BC[i] ≤ 10, ∑_{i=1}^{N} RC[i] = ∑_{i=1}^{N} BC[i]
Addtl Info: All values in input are integers.",271,5,104,1,1,TRUE,Botong,,,3020,,
p00844,p00844_4,"Types: 
- L: float
- Polygon: Tuple[int, List[Tuple[int, int]]]

Ranges: 
- 0.1 < L < 50.0
- 2 < n < 15
- 0 ≤ xi, yi < 500

Addtl Info: 
- Vertices are given in counterclockwise order
- Polygons are simple and do not self-intersect
- |w(L ± 10^-7) - w(L)| < 10^-4",263,5,102,1,1,TRUE,Botong,,,844,,
p01877,p01877_4,"Types: 
- N: int 
- S: List[int] 
- Q: int 
- queries: List[Tuple[int, int, int]]

Ranges: 
- 2 ≤ N ≤ 500,000
- N is even
- -100,000,000 ≤ S[j] ≤ 100,000,000 for 1 ≤ j ≤ N
- 1 ≤ Q ≤ 100,000
- 1 ≤ l ≤ r ≤ N
- -1,000 ≤ x ≤ 1,000

Addtl Info: None",244,5,102,1,1,TRUE,Botong,,,1877,,
p01115,p01115_4,"Types: n: int, s: str
Ranges: 1 ≤ n ≤ 10^9, 1 ≤ len(s) ≤ 2×10^6
Addtl Info: The sum of the lengths of s in all datasets does not exceed 5×10^6, nesting depth of parentheses ≤ 1000, end of input is indicated by a line containing a single zero",241,5,102,1,1,TRUE,Botong,,,1115,,
p00653,p00653_4,"Types: r: int, c: int, q: int, grid: List[List[int]], r1: int, c1: int, r2: int, c2: int  
Ranges: 1 ≤ r*c ≤ 10^6, 0 ≤ grid[i][j] ≤ 2^31-1, 1 ≤ q ≤ 10^4, 0 ≤ r1 ≤ r2 < r, 0 ≤ c1 ≤ c2 < c  
Addtl Info: If r*c ≤ 250000, then q ≤ 100",230,5,102,NA,NA,FALSE,Botong,f() does not consider multiple datasets.,,653,,
p00862,p00862_4,"Types: n: int, coordinates: List[Tuple[int, int]]
Ranges: 3 ≤ n ≤ 100, 0 ≤ xi ≤ 10000, 0 ≤ yi ≤ 10000
Addtl Info: The last dataset is followed by a line containing a single zero. The given polygon is always a convex one.",220,5,102,1,1,TRUE,Botong,,,862,,
p00087,p00087_4,"Types: datasets: List[str]
Ranges: 1 ≤ len(datasets) ≤ 50, 1 ≤ len(formula) ≤ 80, formula consists of integers and operation symbols separated by a single space
Addtl Info: No division by 0 or near 0 in the formulas",215,5,102,NA,NA,FALSE,Botong,extract_arguments is incompatible.,,87,,
p01882,p01882_4,"Types: N: int, s_i: str, a_i: int, M: int, t_j: str, b_j: int  
Ranges: 1 ≤ N ≤ 50,000, 1 ≤ |s_i| ≤ 20, 0 ≤ a_i ≤ 10^5, 1 ≤ M ≤ 20,000, 1 ≤ |t_j| ≤ 20, 0 ≤ b_j ≤ 10^5  
Addtl Info: Each character of \(s_i\) and \(t_j\) is an English letter and they are case-sensitive. No two members have the same name at the same time, but a member who has left may rejoin.",358,4,102,1,1,TRUE,Botong,,,1882,,
p00929,p00929_4,"Types: N: int, M: int, S: List[int], D: List[int], C: List[int]  
Ranges: 3 ≤ N ≤ 500, N - 1 ≤ M ≤ min(50000, N(N - 1) / 2), 1 ≤ S[i] < D[i] ≤ N, 1 ≤ C[i] ≤ 10000  
Addtl Info: No two bridges connect the same pair of two islands, and if all candidate bridges are built, all islands are reachable from any other islands via one or more bridges.",343,4,102,1,1,TRUE,Botong,,,929,,
p03974,p03974_4,"Types: N: int, Q: int, S: List[str], k: List[int], p: List[str]
Ranges: 1 ≤ N, Q ≤ 100000, 1 ≤ |S_i| (1 ≤ i ≤ N), Sum of |S_i| ≤ 400000, 1 ≤ k_i ≤ N
Addtl Info: S_i is a string of lowercase alphabet, and every S_i is unique. p_{i,1}p_{i,2}...p_{i,26} is a permutation of 'abcdefghijklmnopqrstuvwxyz'.",300,4,103,NA,NA,FALSE,Botong,orignal desc is incomplete.,,3974,,
p00562,p00562_4,"Types: H: int, W: int, A: int, B: int, C: int, N: int, S: List[int], T: List[int]
Ranges: 1 ≤ H ≤ 500, 1 ≤ W ≤ 500, 0 ≤ A ≤ 1,000,000,000, 0 ≤ B ≤ 1,000,000,000, 0 ≤ C ≤ 1,000,000,000, 2 ≤ N ≤ 100,000, 0 ≤ S[i] ≤ H (1 ≤ i ≤ N), 0 ≤ T[i] ≤ W (1 ≤ i ≤ N)
Addtl Info: (S[0], T[0]) ≠ (S[N-1], T[N-1])",296,4,102,1,1,TRUE,Botong,,,562,,
p01199,p01199_4,"Types: N: int, M: int, L: int, Ai: int, Bi: int, Di: int, P: List[int], K: List[int]

Ranges: 
1 ≤ N ≤ 100, 
M ≥ 0, 
1 ≤ L ≤ 10000, 
1 ≤ Ai < Bi ≤ N, 
1 ≤ Di ≤ 10000, 
0 ≤ Pi ≤ 10^6, 
0 ≤ Ki ≤ 10^6

Addtl Info: Input is terminated by EOF. All integers in each line are separated by a whitespace.",295,4,102,1,1,TRUE,Botong,,,1199,,
p01925,p01925_4,"Types: N: int, M: int, S: List[int], k: List[int], c: List[List[int]]
Ranges: 2 ≤ N ≤ 10,000, 1 ≤ M ≤ 1,000, 1 ≤ Si ≤ 100, 1 ≤ ki ≤ N, 1 ≤ ci,j ≤ N
Addtl Info: Σki ≤ 100,000",173,4,102,2,2,TRUE,Botong,,,1925,,
p01121,p01121_4,"Types: n: int, pieces: List[List[str]]

Ranges: 3 ≤ n ≤ 9, n is odd, pieces: 6n lines of n characters where each character is either 'X' or '.'

Addtl Info: None",161,4,102,NA,NA,FALSE,Botong,f() does not consider multiple datasets.,,1121,,
p02752,p02752_4,"Types: N: int, a: List[int], b: List[int]
Ranges: 3 ≤ N ≤ 2 × 10^5, 1 ≤ a_i, b_i ≤ N
Addtl Info: The given graph is a tree.",123,4,105,1,1,TRUE,Botong,,,2752,,
p02149,p02149_4,"Types: a: int, b: int, c: int
Ranges: 1 ≤ a, b, c ≤ 5000
Addtl Info: a ≠ b, b ≠ c, c ≠ a",88,4,103,1,1,TRUE,Botong,,,2149,,
p01146,p01146_4,"Types: N: int, M: int, L: int, K: int, A: int, H: int, freezing_facilities: List[int], roads: List[Tuple[int, int, int]]

Ranges: 
- 2 ≤ N ≤ 100
- 1 ≤ M ≤ 100
- 0 ≤ L ≤ N - 2
- 0 ≤ K
- 0 ≤ A < N
- 0 ≤ H < N
- freezing_facilities[i] (for i in [0, L)): 0 ≤ freezing_facilities[i] < N
- roads[i] (for i in [0, K)): 0 ≤ X < N, 0 ≤ Y < N, 0 ≤ T

Addtl Info: 
- Capital (A) and Hospital (H) are different cities.
- Capital (A) and Hospital (H) are not included in freezing_facilities.
- Each city is assigned a number from 0 to N-1.
- Roads are bi-directional.
- At most one road directly connects any pair of cities.",611,4,102,NA,NA,FALSE,Botong,extract_arguments does not consider the case where L is 0.,,1146,,
p02763,p02763_4,"Types: N: int, S: str, Q: int, Query: List[Tuple[int, Union[Tuple[int, str], Tuple[int, int]]]]
Ranges: 1 ≤ N ≤ 500000, 1 ≤ Q ≤ 20000, 1 ≤ i_q ≤ N, 1 ≤ l_q ≤ r_q ≤ N
Addtl Info: c_q is a lowercase English letter, S is a string consisting of lowercase English letters, |S| = N, There is at least one query of type 2 in each testcase.",332,4,102,NA,NA,FALSE,Botong,extract_arguments output types do not match f() input.,,2763,,
p00606,p00606_4,"Types: n: int, s: str, t: str, b: str

Ranges: 0 ≤ n ≤ 15, s in {'A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'}, t in {'A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'}, b in {'A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'}

Addtl Info: n = 0 indicates the end of input, s, t, b are distinct, at most 100 datasets",303,4,102,1,1,TRUE,Alex,,,606,,
p02748,p02748_4,"Types: A: int, B: int, M: int, a: List[int], b: List[int], x: List[int], y: List[int], c: List[int]
Ranges: 1 ≤ A ≤ 10^5, 1 ≤ B ≤ 10^5, 1 ≤ M ≤ 10^5, 1 ≤ a[i] ≤ 10^5, 1 ≤ b[i] ≤ 10^5, 1 ≤ x[i] ≤ A, 1 ≤ y[i] ≤ B, 1 ≤ c[i] ≤ 10^5, c[i] ≤ a[x[i]] + b[y[i]]
Addtl Info: None",270,4,104,2,2,TRUE,Alex,,,2748,,
p02806,p02806_4,"Types: N: int, s: List[str], t: List[int], X: str  
Ranges: 1 ≤ N ≤ 50, 1 ≤ len(s_i) ≤ 100, 1 ≤ len(X) ≤ 100, 1 ≤ t_i ≤ 1000  
Addtl Info: s_i and X consist of lowercase English letters, s_1, ..., s_N are distinct, there exists an integer i such that s_i = X",258,4,104,2,2,TRUE,Alex,,,2806,,
p01978,p01978_4,"Types: N: int, M: int, s: int, t: int, a: List[int], b: List[int], c: List[int], d: List[int]

Ranges: 2 ≤ N ≤ 10^5, 1 ≤ M ≤ 10^5, 1 ≤ s, t ≤ N, 1 ≤ a[i], b[i], c[i] ≤ N, 1 ≤ d[i] ≤ 10^9

Addtl Info: s ≠ t, A path from s to t exists in the original graph",254,4,102,1,1,TRUE,Alex,,,1978,,
p03052,p03052_4,"Types: N: int, M: int, a: List[int], b: List[int]
Ranges: 2 ≤ N ≤ 20, N-1 ≤ M ≤ N(N-1)/2, 1 ≤ a_i, b_i ≤ N
Addtl Info: G does not have self-loops or multiple edges, the subgraph consisting of Vertex 1,2,...,N and Edge 1,2,...,N-1 is a spanning tree of G",253,4,104,1,1,TRUE,Alex,,,3052,,
p01019,p01019_4,"Types: N: int, M: int, segments: List[Tuple[int, int, int, int]]
Ranges: 1 ≤ N, M ≤ 10^3, 0 ≤ x1, y1, x2, y2 ≤ 10^3
Addtl Info: The expressions will always have the correct syntax. No numbers other than 0 will have a leading 0.",227,4,103,NA,NA,FALSE,Alex,"no example input given, skipping",,1019,,
